mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
ladder,read,a5,0,4096,4,1,1024,0,16,16,15105.0,25.5,944.0625,0.0,2398.9821428571427,7270.25,
ladder,read,a5,0,4096,8,1,1024,0,16,16,15685.5,84.5,980.34375,0.0,2397.901785714286,496.4375,
ladder,read,a5,0,4096,16,1,1024,0,16,16,16142.0,20.5,1008.875,0.0,2399.0714285714284,2618.660714285714,
ladder,read,a5,0,4096,32,1,1024,0,16,16,16392.0,75.0,1024.5,0.0,2397.6785714285716,-888.5267857142857,
ladder,read,a5,0,8192,1,1,1024,0,16,16,19052.0,40.5,1190.75,0.0,4290.401785714285,1325.107142857143,
ladder,read,a5,0,8192,2,1,1024,0,16,16,18672.0,55.5,1167.0,0.0,4291.160714285715,1401.5714285714287,
ladder,read,a5,0,8192,4,1,1024,0,16,16,22264.0,106.0,1391.5,0.0,4290.089285714285,6949.535714285715,
ladder,read,a5,0,8192,8,1,1024,0,16,16,19177.0,215.0,1198.5625,0.0,4289.785714285715,-473.2142857142857,
ladder,read,a5,0,8192,16,1,1024,0,16,16,18846.5,110.5,1177.90625,0.0,4289.714285714285,2806.4553571428573,
ladder,read,a5,0,8192,32,1,1024,0,16,16,19804.0,120.0,1237.75,0.0,4290.107142857143,-10379.098214285714,
ladder,read,a5,0,16384,1,1,1024,0,16,16,28856.0,170.0,1803.5,0.0,8070.732142857143,3075.2678571428573,
ladder,read,a5,0,16384,2,1,1024,0,16,16,30800.5,546.5,1925.03125,0.0,8071.910714285715,1344.642857142857,
ladder,read,a5,0,16384,4,1,1024,0,16,16,27659.0,50.5,1728.6875,0.0,8072.660714285715,980.1160714285714,
ladder,read,a5,0,16384,8,1,1024,0,16,16,31276.0,331.0,1954.75,0.0,8071.276785714285,-643.2678571428571,
ladder,read,a5,0,16384,16,1,1024,0,16,16,27107.5,90.5,1694.21875,0.0,8073.1875,1152.919642857143,
ladder,read,a5,0,16384,32,1,1024,0,16,16,30389.5,235.5,1899.34375,0.0,8074.794642857143,2575.9821428571427,
ladder,read,a5,0,65536,1,1,1024,0,16,16,83558.0,4218.0,5222.375,0.0,30766.10714285714,13641.875,
ladder,read,a5,0,65536,2,1,1024,0,16,16,96253.0,12620.0,6015.8125,0.0,30764.95535714286,9575.723214285714,
ladder,read,a5,0,65536,4,1,1024,0,16,16,82791.5,6873.0,5174.46875,0.0,30762.625,11419.910714285714,
ladder,read,a5,0,65536,8,1,1024,0,16,16,84901.0,2064.5,5306.3125,0.0,30766.73214285714,16171.526785714286,
ladder,read,a5,0,65536,16,1,1024,0,16,16,74800.5,1142.0,4675.03125,0.0,30767.491071428572,7474.553571428572,
ladder,read,a5,0,65536,32,1,1024,0,16,16,75842.5,932.0,4740.15625,0.0,30766.946428571428,10130.223214285714,
ladder,read,a5,0,1048576,1,1,1024,0,16,16,1547568.5,71329.0,96723.03125,0.0,484607.8660714286,136014.3392857143,
ladder,read,a5,0,1048576,2,1,1024,0,16,16,2111264.5,289003.5,131954.03125,0.0,484607.33035714284,185410.125,
ladder,read,a5,0,1048576,4,1,1024,0,16,16,1620821.0,53529.5,101301.3125,0.0,484605.7589285714,107617.07142857143,
ladder,read,a5,0,1048576,8,1,1024,0,16,16,1527443.5,58714.0,95465.21875,0.0,484605.70535714284,127198.63392857143,
ladder,read,a5,0,1048576,16,1,1024,0,16,16,1647979.5,103041.0,102998.71875,0.0,484607.6964285714,130957.88392857143,
ladder,read,a5,0,1048576,32,1,1024,0,16,16,1655654.0,54812.0,103478.375,0.0,484606.2589285714,-4717.955357142857,
ladder,read,a6,0,4096,1,1,2048,0,16,16,16472.0,40.5,1029.5,0.0,2398.723214285714,801.6339285714286,
ladder,read,a6,0,4096,2,1,2048,0,16,16,15585.5,40.0,974.09375,0.0,2398.9910714285716,1083.767857142857,
ladder,read,a6,0,4096,4,1,2048,0,16,16,15134.0,89.5,945.875,0.0,2399.5178571428573,4473.714285714285,
ladder,read,a6,0,4096,8,1,2048,0,16,16,16542.0,646.5,1033.875,0.0,2396.348214285714,7914.026785714285,
ladder,read,a6,0,4096,16,1,2048,0,16,16,14618.5,19.5,913.65625,0.0,2398.6339285714284,1387.642857142857,
ladder,read,a6,0,4096,32,1,2048,0,16,16,14949.0,35.0,934.3125,0.0,2396.7946428571427,547.7767857142857,
ladder,read,a6,0,8192,1,1,2048,0,16,16,18546.5,80.5,1159.15625,0.0,4291.883928571428,1216.3482142857142,
ladder,read,a6,0,8192,2,1,2048,0,16,16,19668.5,321.0,1229.28125,0.0,4290.107142857143,3719.1785714285716,
ladder,read,a6,0,8192,4,1,2048,0,16,16,19473.0,100.0,1217.0625,0.0,4291.089285714285,1022.4732142857143,
ladder,read,a6,0,8192,8,1,2048,0,16,16,20199.5,75.0,1262.46875,0.0,4289.794642857143,-2478.3839285714284,
ladder,read,a6,0,8192,16,1,2048,0,16,16,19973.5,140.0,1248.34375,0.0,4290.473214285715,-4243.294642857143,
ladder,read,a6,0,8192,32,1,2048,0,16,16,19017.0,85.0,1188.5625,0.0,4289.8125,737.8035714285714,
ladder,read,a6,0,16384,1,1,2048,0,16,16,30704.5,516.0,1919.03125,0.0,8072.044642857143,-6601.607142857143,
ladder,read,a6,0,16384,2,1,2048,0,16,16,29918.0,125.5,1869.875,0.0,8071.839285714285,885.8839285714286,
ladder,read,a6,0,16384,4,1,2048,0,16,16,28400.0,986.5,1775.0,0.0,8071.651785714285,3562.839285714286,
ladder,read,a6,0,16384,8,1,2048,0,16,16,28656.0,211.0,1791.0,0.0,8072.419642857143,220.76785714285714,
ladder,read,a6,0,16384,16,1,2048,0,16,16,28270.0,941.5,1766.875,0.0,8074.6875,1778.830357142857,
ladder,read,a6,0,16384,32,1,2048,0,16,16,27213.5,180.5,1700.84375,0.0,8074.285714285715,1485.7589285714287,
ladder,read,a6,0,65536,1,1,2048,0,16,16,81338.5,546.0,5083.65625,0.0,30764.125,7162.955357142857,
ladder,read,a6,0,65536,2,1,2048,0,16,16,77781.5,1958.5,4861.34375,0.0,30765.214285714286,7043.285714285715,
